Rk,Player,Age,Team,Lg,WAR,AB,R,H,2B,3B,HR,RBI,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,Pos,Player-additional
513,MJ Melendez*,26,KCR,AL,-0.6,60,5,5,2,0,1,1,23,0.083,0.154,0.167,0.321,-10,0.15,-20,10,7/9HD,melenmj01
514,Nick Maton*,28,CHW,AL,-0.1,54,5,9,2,0,2,4,19,0.167,0.286,0.315,0.601,69,0.264,69,17,D/H3479,matonni01
515,Brett Wisely*,26,2TM,NL,0.3,54,5,10,4,0,1,10,14,0.185,0.279,0.315,0.594,70,0.265,70,17,4/H56D,wiselbr01
515,Brett Wisely*,26,SFG,NL,0.3,48,5,10,4,0,1,10,10,0.208,0.269,0.354,0.623,78,0.27,75,17,4/H56D,wiselbr01
515,Brett Wisely*,26,ATL,NL,0,6,0,0,0,0,0,0,4,0,0.333,0,0.333,6,0.232,41,0,/4H,wiselbr01
516,Maximo Acosta,22,MIA,NL,0,54,7,11,1,0,3,5,17,0.204,0.295,0.389,0.684,88,0.305,97,21,5/46,acostma02
517,Oscar González,27,SDP,NL,-0.5,59,2,13,1,0,0,4,13,0.22,0.246,0.237,0.483,35,0.209,26,14,7/9HD,gonzaos01
518,Sam Hilliard*,31,COL,NL,-0.2,51,8,10,3,1,2,3,23,0.196,0.328,0.412,0.74,96,0.325,94,21,/7H89D,hillisa01
519,Joey Wiemer,26,MIA,NL,0.4,55,7,13,2,0,3,12,23,0.236,0.279,0.436,0.715,95,0.297,82,24,9/H7,wiemejo01
520,Jonny DeLuca,26,TBR,AL,0.6,57,5,19,1,3,0,4,13,0.333,0.356,0.456,0.812,126,0.365,119,26,8/HD,delucjo01
521,Ryan Noda*,29,2TM,AL,-0.2,47,3,5,0,0,1,2,25,0.106,0.276,0.17,0.446,30,0.214,20,8,3/9DH,nodary01
521,Ryan Noda*,29,CHW,AL,-0.3,34,3,3,0,0,1,1,19,0.088,0.295,0.176,0.472,38,0.232,37,6,3/D9H,nodary01
